127.0.0.1 - - [31/Jan/2015:22:38:25 -0200] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [31/Jan/2015:22:39:13 -0200] "GET /sisi-servlets/UtilesServlet?op=init HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jan/2015:22:41:33 -0200] "GET /sisi-servlets/UtilesServlet?op=init HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:42:35 -0200] "OPTIONS /sisi-servlets/UsuarioServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:42:35 -0200] "POST /sisi-servlets/UsuarioServlet HTTP/1.1" 200 14
127.0.0.1 - - [31/Jan/2015:22:42:35 -0200] "OPTIONS /sisi-servlets/CruceServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:42:35 -0200] "POST /sisi-servlets/CruceServlet HTTP/1.1" 200 3867
127.0.0.1 - - [31/Jan/2015:22:42:43 -0200] "OPTIONS /sisi-servlets/CalleServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:42:43 -0200] "POST /sisi-servlets/CalleServlet HTTP/1.1" 200 304
127.0.0.1 - - [31/Jan/2015:22:42:43 -0200] "OPTIONS /sisi-servlets/SemaforoServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:42:43 -0200] "POST /sisi-servlets/SemaforoServlet HTTP/1.1" 200 263
127.0.0.1 - - [31/Jan/2015:22:42:57 -0200] "OPTIONS /sisi-servlets/SemaforoServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:42:57 -0200] "POST /sisi-servlets/SemaforoServlet HTTP/1.1" 200 2533
127.0.0.1 - - [31/Jan/2015:22:43:03 -0200] "OPTIONS /sisi-servlets/CalleServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:43:03 -0200] "POST /sisi-servlets/CalleServlet HTTP/1.1" 200 304
127.0.0.1 - - [31/Jan/2015:22:43:04 -0200] "OPTIONS /sisi-servlets/CruceServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:43:04 -0200] "POST /sisi-servlets/CruceServlet HTTP/1.1" 200 3867
127.0.0.1 - - [31/Jan/2015:22:43:06 -0200] "OPTIONS /sisi-servlets/ControladorServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:43:06 -0200] "POST /sisi-servlets/ControladorServlet HTTP/1.1" 200 1451
127.0.0.1 - - [31/Jan/2015:22:44:09 -0200] "OPTIONS /sisi-servlets/CruceServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:44:09 -0200] "POST /sisi-servlets/CruceServlet HTTP/1.1" 200 3867
127.0.0.1 - - [31/Jan/2015:22:44:09 -0200] "OPTIONS /sisi-servlets/ControladorServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:44:09 -0200] "POST /sisi-servlets/ControladorServlet HTTP/1.1" 200 1449
127.0.0.1 - - [31/Jan/2015:22:44:15 -0200] "OPTIONS /sisi-servlets/PlanServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:44:16 -0200] "POST /sisi-servlets/PlanServlet HTTP/1.1" 500 107959
127.0.0.1 - - [31/Jan/2015:22:44:17 -0200] "OPTIONS /sisi-servlets/CruceServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:44:17 -0200] "POST /sisi-servlets/CruceServlet HTTP/1.1" 200 3867
127.0.0.1 - - [31/Jan/2015:22:44:49 -0200] "OPTIONS /sisi-servlets/CruceServlet HTTP/1.1" 200 -
127.0.0.1 - - [31/Jan/2015:22:44:49 -0200] "POST /sisi-servlets/CruceServlet HTTP/1.1" 200 3867
